"CH1:1x_x","CH1:1x_y","CH1:2x_x","CH1:2x_y","CH1:4x_x","CH1:4x_y","CH1:5x_x","CH1:5x_y","CH1:8x_x","CH1:8x_y","CH1:10x_x","CH1:10x_y","CH1:16x_x","CH1:16x_y","CH1:32x_x","CH1:32x_y","CH2:1x_x","CH2:1x_y","CH2:2x_x","CH2:2x_y","CH2:4x_x","CH2:4x_y","CH2:5x_x","CH2:5x_y","CH2:8x_x","CH2:8x_y","CH2:10x_x","CH2:10x_y","CH2:16x_x","CH2:16x_y","CH2:32x_x","CH2:32x_y"
0,-3.273019,0,-3.287809,0,-3.295009,0,-3.285597,780,-2.049631,1050,-1.60909,1410,-1.026283,1740,-0.4899897,0,-3.321935,0,-3.336176,0,-3.344319,0,-3.285568,780,-2.053396,1050,-1.642389,1410,-1.026714,1740,-0.5132885,
30,-3.229457,30,-3.244557,30,-3.251213,30,-3.256378,810,-2.000665,1080,-1.559496,1440,-0.9787935,1770,-0.4411586,30,-3.278257,30,-3.292619,30,-3.301005,30,-3.284759,810,-2.04847,1080,-1.60685,1440,-1.026338,1770,-0.4925827,
60,-3.181871,60,-3.197157,60,-3.204218,60,-3.208724,840,-1.95134,1110,-1.510682,1470,-0.9309773,1800,-0.3922767,60,-3.231376,60,-3.245589,60,-3.253648,60,-3.252927,840,-1.99951,1110,-1.557763,1470,-0.9814661,1800,-0.4439934,
90,-3.13365,90,-3.148433,90,-3.155358,90,-3.160318,870,-1.902845,1140,-1.462044,1500,-0.8808295,1830,-0.3441237,90,-3.182631,90,-3.197263,90,-3.205209,90,-3.2041,870,-1.951109,1140,-1.509619,1500,-0.9314835,1830,-0.3954889,
120,-3.085283,120,-3.100386,120,-3.10703,120,-3.11168,900,-1.854255,1170,-1.413242,1530,-0.8308183,1860,-0.2952797,120,-3.134748,120,-3.148559,120,-3.156737,120,-3.155733,900,-1.902771,1170,-1.460644,1530,-0.8816486,1860,-0.3469165,
150,-3.037793,150,-3.05214,150,-3.058747,150,-3.063129,930,-1.806298,1200,-1.3642,1560,-0.7811335,1890,-0.2471303,150,-3.086533,150,-3.100617,150,-3.108224,150,-3.107286,930,-1.854719,1200,-1.411892,1560,-0.8320403,1890,-0.2985236,
180,-2.988867,180,-3.003242,180,-3.009872,180,-3.014669,960,-1.758201,1230,-1.315619,1590,-0.7317374,1920,-0.1987385,180,-3.039077,180,-3.052059,180,-3.060144,180,-3.058916,960,-1.806736,1230,-1.36333,1590,-0.7827732,1920,-0.250157,
210,-2.940234,210,-2.954623,210,-2.961528,210,-2.96586,990,-1.709383,1260,-1.267452,1620,-0.6828713,1950,-0.1502372,210,-2.990257,210,-3.003957,210,-3.011482,210,-3.010771,990,-1.75807,1260,-1.315898,1620,-0.7339063,1950,-0.2017669,
240,-2.892078,240,-2.906861,240,-2.913583,240,-2.917985,1020,-1.660545,1290,-1.219272,1650,-0.6352047,1980,-0.1016741,240,-2.943044,240,-2.956101,240,-2.963782,240,-2.962997,1020,-1.70925,1290,-1.267544,1650,-0.6862053,1980,-0.1533906,
270,-2.844971,270,-2.858837,270,-2.865582,270,-2.870554,1050,-1.610831,1320,-1.170408,1680,-0.5866327,2010,-0.0518211,270,-2.894738,270,-2.908241,270,-2.915949,270,-2.914929,1050,-1.660156,1320,-1.218976,1680,-0.6378165,2010,-0.1034555,
300,-2.79605,300,-2.81046,300,-2.817729,300,-2.822184,1080,-1.561399,1350,-1.121419,1710,-0.5380415,2040,-0.002116014,300,-2.84759,300,-2.860196,300,-2.867939,300,-2.867468,1080,-1.610802,1350,-1.169966,1710,-0.5892256,2040,-0.05364751,
330,-2.747557,330,-2.762247,330,-2.769669,330,-2.773963,1110,-1.512451,1380,-1.072809,1740,-0.4890974,2070,0.04712602,330,-2.798684,330,-2.812006,330,-2.820291,330,-2.819048,1110,-1.561712,1380,-1.121881,1740,-0.5404043,2070,-0.004731599,
360,-2.698813,360,-2.714043,360,-2.721073,360,-2.725239,1140,-1.463561,1410,-1.024725,1770,-0.4402355,2100,0.0955954,360,-2.75064,360,-2.763836,360,-2.771834,360,-2.770723,1140,-1.513157,1410,-1.073714,1770,-0.4916761,2100,0.04380499,
390,-2.650532,390,-2.665092,390,-2.672367,390,-2.676711,1170,-1.414755,1440,-0.9768071,1800,-0.3915791,2130,0.1443826,390,-2.701845,390,-2.715512,390,-2.723564,390,-2.722393,1170,-1.464194,1440,-1.026024,1800,-0.4427607,2130,0.09285626,
420,-2.601455,420,-2.616162,420,-2.623594,420,-2.627979,1200,-1.365833,1470,-0.9290462,1830,-0.3431569,2160,0.1931578,420,-2.653438,420,-2.666138,420,-2.67432,420,-2.673855,1200,-1.415518,1470,-0.9783266,1830,-0.3943587,2160,0.1413902,
450,-2.552181,450,-2.567722,450,-2.574442,450,-2.578791,1230,-1.317001,1500,-0.8787277,1860,-0.2943791,2190,0.2420733,450,-2.604149,450,-2.617305,450,-2.625153,450,-2.624612,1230,-1.366665,1500,-0.9281532,1860,-0.3459542,2190,0.1902038,
480,-2.502782,480,-2.519292,480,-2.526082,480,-2.529736,1260,-1.269172,1530,-0.8288324,1890,-0.2461943,2220,0.2910916,480,-2.55545,480,-2.569228,480,-2.576649,480,-2.576061,1260,-1.318636,1530,-0.8784885,1890,-0.297713,2220,0.2393473,
510,-2.454516,510,-2.470439,510,-2.477117,510,-2.481324,1290,-1.220533,1560,-0.7791274,1920,-0.1976515,2250,0.340234,510,-2.506368,510,-2.520526,510,-2.528327,510,-2.527394,1290,-1.270489,1560,-0.8289986,1920,-0.2493311,2250,0.2885023,
540,-2.405479,540,-2.421216,540,-2.428297,540,-2.432589,1320,-1.171437,1590,-0.7298374,1950,-0.1489999,2280,0.3892599,540,-2.458319,540,-2.472033,540,-2.479428,540,-2.478703,1320,-1.221624,1590,-0.779837,1950,-0.2008973,2280,0.337152,
570,-2.356312,570,-2.372719,570,-2.379458,570,-2.383626,1350,-1.122495,1620,-0.6810551,1980,-0.1007568,2310,0.4381045,570,-2.409524,570,-2.42346,570,-2.430753,570,-2.43048,1350,-1.172474,1620,-0.7312618,1980,-0.1524846,2310,0.386319,
600,-2.307416,600,-2.323815,600,-2.330872,600,-2.334872,1380,-1.073917,1650,-0.6332338,2010,-0.05100753,2340,0.4873585,600,-2.360724,600,-2.374957,600,-2.382326,600,-2.381886,1380,-1.124465,1650,-0.6837029,2010,-0.1028625,2340,0.4349955,
630,-2.259437,630,-2.275562,630,-2.282845,630,-2.286695,1410,-1.025719,1680,-0.584998,2040,-0.0008502461, , ,630,-2.312292,630,-2.327084,630,-2.334172,630,-2.333668,1410,-1.075866,1680,-0.6354343,2040,-0.05292491, , ,
660,-2.210446,660,-2.226956,660,-2.234399,660,-2.238375,1440,-0.9777314,1710,-0.5362203,2070,0.04843444, , ,660,-2.264076,660,-2.278247,660,-2.285875,660,-2.285217,1440,-1.028243,1710,-0.5867931,2070,-0.003726477, , ,
690,-2.161646,690,-2.177945,690,-2.185325,690,-2.189468,1470,-0.9297758,1740,-0.4873272,2100,0.09684023, , ,690,-2.215462,690,-2.229666,690,-2.237076,690,-2.237003,1470,-0.9802629,1740,-0.5381352,2100,0.04480712, , ,
720,-2.112725,720,-2.129147,720,-2.13674,720,-2.140434,1500,-0.8796594,1770,-0.4385736,2130,0.1454824, , ,720,-2.166839,720,-2.180727,720,-2.188506,720,-2.188021,1500,-0.9303021,1770,-0.489574,2130,0.09337597, , ,
750,-2.065179,750,-2.080639,750,-2.088308,750,-2.092155,1530,-0.8295248,1800,-0.3897853,2160,0.1941504, , ,750,-2.118064,750,-2.132408,750,-2.140156,750,-2.139688,1530,-0.8804237,1800,-0.4407313,2160,0.1419363, , ,
